kernel,blksz_x,blksz_y,grdsz_x,grdsz_y,numele,inst_per_warp,warp_nonpred_execution_efficiency,inst_replay_overhead,gld_transactions_per_request,gld_transactions,gst_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_write_throughput,gld_efficiency,tex_cache_transactions,flop_count_sp,flop_count_sp_add,flop_count_sp_mul,inst_executed,inst_issued,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_other,stall_constant_memory_dependency,stall_pipe_busy,inst_fp_32,inst_integer,inst_control,inst_compute_ld_st,inst_misc,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,ipc,issued_ipc,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,flop_sp_efficiency,duration,shared_load_transactions_per_request,shared_store_transactions_per_request,shared_store_transactions,shared_load_transactions,shared_load_throughput,shared_store_throughput,stall_texture,stall_sync,shared_efficiency,branch_efficiency,warp_execution_efficiency,local_load_transactions_per_request,local_store_transactions_per_request,gst_transactions_per_request,local_load_transactions,local_store_transactions,local_hit_rate,local_load_throughput,local_store_throughput,gst_efficiency,flop_count_sp_fma,flop_count_sp_special,inst_bit_convert
KernelVectorAddCB,-1.55937,-0.18226,-1.43615,-0.18830,-0.90603, 0.11192, 0.47315,-0.55146,-0.51160,-0.12267,-0.75261,-0.13686,-0.97653,-0.20760,-0.63023,-0.65013,-1.18282,-0.91705,-1.45829,-1.07753,-1.60191,-1.45569,-0.41511,-1.47594,-1.14502,-1.29665,-0.87693,-1.23989,-1.67750,-1.24587,-1.67753,-0.02446, 0.64892,-0.12176,-0.15715,-0.13686,-0.12772,-0.11773,-0.12654,-1.42457,-0.27431, 0.68475,-0.60076,-0.64879,-0.61511,-0.14821,-0.12287,-0.16706,-0.12350,-0.12528,-0.12654,-0.15632,-0.15632,-0.12439,-0.12439,-0.13677,-0.48762,-0.48974,-0.97653,-1.62728,-2.51335,-0.97261,-2.09989,-1.05230,-1.27157,-0.07185, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelVectorAddCBTrigILP4,-1.20047,-0.18226, 0.68924,-0.18830, 1.03486, 0.09885,-0.08169,-0.54062,-0.51160,-0.11850, 0.04762,-0.11340, 0.53484,-0.01134,-0.17886,-0.65013,-0.63028,-0.53517,-0.95020,-0.72782, 0.42766, 0.30788,-0.43737, 0.86430,-0.57231,-0.84165,-0.34485,-0.66412,-0.26014,-0.66692,-0.26017, 0.42719, 0.64892,-0.11869,-0.07030,-0.09663,-0.10707,-0.07045,-0.11176, 0.34467, 0.70883,-0.53850,-0.57643,-0.53275,-0.48918,-0.08207,-0.11526,-0.05290,-0.11586,-0.11182,-0.11176,-0.06931,-0.06931,-0.11590,-0.11590,-0.11349,-0.44724,-0.41865, 0.53484, 0.71788,-0.05473,-0.62621,-0.29496,-0.34062, 0.42576,-0.08256, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.11767, 0.62836, 0.71201,-0.19226, 0.01504, 0.61654, 1.32560,-0.51513, 1.10054
KernelVectorAddCBTrig,-1.43974,-0.18226, 0.68924,-0.18830,-0.90603,-0.13573,-0.09960,-0.45396,-0.51160,-0.12267,-0.75261,-0.13680,-0.64835,-0.20735,-0.62578,-0.65013,-0.64707,-0.54677,-0.96564,-0.73845, 0.41033, 0.29882,-0.35100, 0.86292,-0.60016,-0.92361,-0.36794,-0.68160,-0.32841,-0.68164,-0.32841,-0.77934, 0.64892,-0.12116,-0.13702,-0.12773,-0.12407,-0.10772,-0.12369, 0.62132, 0.76673,-0.62351,-0.59092,-0.35195,-0.55127,-0.13313,-0.12164,-0.14233,-0.12191,-0.12277,-0.12369,-0.13778,-0.13778,-0.12256,-0.12256,-0.13677,-0.48229,-0.45945,-0.64835, 0.15370,-0.64799, 0.87304,-0.98767,-0.51507, 0.35763,-0.09523, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.12009,-0.59119, 0.71189,-0.21837,-0.04830, 0.61654,-0.45176,-0.51513,-0.51179
KernelVectorAddCBTrigILP2, 1.07255,-0.18226, 1.11432,-0.18830,-0.90603,-0.31652,-0.08110,-0.13258,-0.51160,-0.12267,-0.75261,-0.13678,-0.57460,-0.21043,-0.61374,-0.65013,-0.71582,-0.59429,-1.02886,-0.78196, 0.54140, 0.36568,-0.23685, 0.91087,-0.69789,-0.93272,-0.31239,-0.75326,-0.23979,-0.75248,-0.23980,-0.77984, 0.64892,-0.12097,-0.13229,-0.12567,-0.12284,-0.11648,-0.12255, 0.42509, 0.90962,-0.74487,-0.45837, 0.28759,-0.47023,-0.12953,-0.12110,-0.13349,-0.12112,-0.12169,-0.12255,-0.13020,-0.13020,-0.12201,-0.12201,-0.13677,-0.39829,-0.43105,-0.57460,-0.86087, 0.06118, 1.06845,-0.63996,-0.30035, 0.68493,-0.09508, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.11992,-0.50294, 0.71114,-0.17290, 0.06202, 0.61654,-0.32314,-0.51513,-0.39512
KernelVectorAddCBTrigILP2,-0.72194,-0.18226, 0.68924,-0.18830,-0.90603,-0.27847,-0.09316,-0.04231,-0.51160,-0.12267,-0.75261,-0.13676,-0.62165,-0.20852,-0.56279,-0.65013,-0.25259,-0.27413,-0.60289,-0.48878, 0.46209, 0.32560,-0.22567, 0.81202,-0.21847,-0.28629, 0.02610,-0.27047, 0.68049,-0.26222, 0.68051,-0.77649, 0.64892,-0.12110,-0.13531,-0.12698,-0.12362,-0.11684,-0.12326, 0.40996, 0.50321,-0.52400,-0.45278, 0.29861, 0.08630,-0.13183,-0.12137,-0.13791,-0.12168,-0.12242,-0.12326,-0.13417,-0.13417,-0.12242,-0.12242,-0.13677,-0.25175, 0.00970,-0.62165,-0.80387, 1.09596, 0.46004, 0.50142, 0.22218, 1.58590,-0.09716, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.12003,-0.55924, 0.65750, 0.14873, 0.84241, 0.61654,-0.40520,-0.51513,-0.46956
KernelVectorAddCBTrigILP4, 1.67071,-0.18226, 1.11432,-0.18830, 1.03486,-0.26104,-0.07124,-0.52618,-0.51160,-0.11850, 0.04762,-0.11340, 1.14480,-0.01167,-0.17091,-0.65013,-0.59042,-0.50762,-0.91354,-0.70259, 0.65842, 0.42253,-0.43066, 1.01373,-0.53204,-0.80207,-0.09940,-0.62258, 0.42673,-0.62518, 0.42671, 0.50087, 0.64892,-0.11751,-0.03119,-0.07965,-0.09689,-0.10777,-0.10543, 0.44984, 0.92159,-0.75849,-0.57477,-0.42635,-0.45896,-0.05234,-0.11248, 0.00060,-0.11244,-0.10602,-0.10543,-0.02911,-0.02911,-0.11226,-0.11226,-0.11349,-0.41236,-0.39946, 1.14480,-0.73655, 0.69076, 0.70772,-0.27373,-0.10613, 1.33678,-0.08350, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.11621, 1.35829, 0.71286, 0.08690, 0.69240, 0.61654, 2.38940,-0.51513, 2.06556
KernelVectorAddCBTrigILP2_64,-1.43974,-0.18226,-0.16092,-0.18830, 1.03486, 0.92871, 0.10226,-0.59479, 0.45443,-0.11294, 1.11458,-0.11337, 1.81306,-0.01125, 0.27128, 0.94624,-0.87968,-0.70754,-0.80632,-0.62880, 0.81277, 0.58062,-0.43425, 1.07853,-0.82972,-0.78499,-0.35292,-0.92374,-0.07911,-0.92770,-0.07914,-0.03378,-1.07957,-0.11676,-0.07252,-0.09759,-0.10764,-0.11028,-0.11038, 0.13104, 1.26848,-0.98005,-0.29904,-0.69366,-0.58649,-0.08282,-0.11276,-0.06644,-0.11087,-0.11066,-0.11038,-0.08098,-0.08098,-0.11147,-0.11147,-0.11347,-0.48703,-0.47839, 1.81306,-0.76730,-1.18910,-0.77435,-1.40582,-0.67483,-0.25184,-0.07168, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550, 0.44184,-0.11514, 1.89617, 0.70966,-0.13735, 0.14828,-1.13998, 1.26538, 2.18283, 1.58003
KernelVectorAddCB, 1.67071,-0.18226, 1.11432,-0.18830,-0.90603,-0.33393, 0.36981, 1.48875,-0.51160,-0.12267,-0.75261,-0.13686,-0.97653,-0.20715,-0.64641,-0.65013, 1.41833, 0.88072, 0.93363, 0.56875,-1.60191,-1.45569, 0.17827,-1.47594, 1.50742, 0.19208,-0.13188, 1.47062,-0.87385, 1.46864,-0.87378,-0.76443, 0.64892,-0.12169,-0.15715,-0.13686,-0.12772,-0.11829,-0.12612,-1.08135,-0.91702, 0.60700, 0.16949, 4.89161, 1.54257,-0.14821,-0.12276,-0.16604,-0.12292,-0.12474,-0.12612,-0.15430,-0.15430,-0.12413,-0.12413,-0.13677,-0.43700, 1.28720,-0.97653,-0.66370, 0.70906,-0.58014, 1.39265, 1.19985,-0.81223,-0.09913, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelVectorAddCBTrigILP4_128,-1.08084,-0.18226, 0.26416,-0.18830,-0.90603,-0.23882, 0.09559,-0.26980, 2.38623,-0.11850, 0.04762,-0.13186,-0.21076,-0.18408,-0.04363, 1.72152,-0.60494,-0.51765, 0.95067, 0.58048, 0.90560, 0.57640, 0.62541, 0.08991,-0.30571, 1.32541, 0.03024,-0.19497, 1.44492,-0.18716, 1.44493,-0.77904,-1.94382,-0.12064,-0.13702,-0.12773,-0.12407,-0.10782,-0.12310, 2.04220,-0.37763,-0.03896, 0.15823,-0.17292,-0.26062,-0.13293,-0.12090,-0.14258,-0.12057,-0.12227,-0.12310,-0.13803,-0.13803,-0.12148,-0.12148,-0.13192, 1.57207,-0.28564,-0.21076, 0.69445,-0.07911, 0.20752, 0.12625,-0.26674,-1.17374,-0.09585, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,-3.77479, 0.10475, 0.61536, 0.61536, 2.39538,-0.11944,-0.26390, 0.16262, 0.24907, 1.08587,-2.01825,-0.45176, 0.05443,-0.39904
KernelVectorAddCBTrig,-0.12378,-0.18226,-1.43615,-0.18830, 1.03486, 1.01482,-0.10035,-0.55507,-0.51160,-0.11850, 0.04762,-0.11342, 0.50031,-0.01139,-0.32292,-0.65013,-0.86328,-0.69621,-1.16446,-0.87529, 0.41032, 0.29884,-0.43741, 0.90886,-0.81301,-1.11300,-0.54917,-0.90692,-0.79601,-0.91123,-0.79604,-0.00348, 0.64892,-0.11876,-0.07252,-0.09759,-0.10764,-0.07442,-0.11306, 0.26711, 0.94390,-0.71326,-0.59895,-0.55688,-0.58247,-0.08376,-0.11617,-0.06561,-0.11607,-0.11300,-0.11306,-0.07985,-0.07985,-0.11578,-0.11578,-0.11349,-0.48679,-0.47449, 0.50031,-0.22852,-1.04693,-0.91324,-1.29097,-0.63347,-1.18740,-0.07278, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.11775, 0.58703, 0.70932,-0.38424,-0.45076, 0.61654, 1.26538,-0.51513, 1.04591
