kernel,blksz_x,blksz_y,blksz_z,grdsz_x,grdsz_y,grdsz_z,numele,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,stall_sleeping,duration,
KernelMatMultFast,16,16,1,44,44,1,704,196196.000000,100.000000,100.000000,96.952601,0.000006,1.125022,1.004778,0.000000,0.000000,3.923577,4.000000,1369456,24533463,0,0,5347616,61952,0,5,5224274,61968,89495,86717,4.798461,0.000000,28.342247,329.800689,27.800748,329.800689,1.826253,3.506267,97.895806,50.000000,476.425502,461.636853,487.991029,27.337199,329.800689,27.159528,329.885864,0.000000,27.254883,0.000000,0.000000,510.170237,28.477663,101.947784,100.000000,23466892,0,0,0,0,697827328,348913664,0,348913664,0,3038683648,1147327055,0.236304,48.632195,1.475360,0.000001,2.253288,0.013444,0.003246,24.736784,28.939565,697827328,0,10040684544,0,808349696,788029440,23615111168,0,1147327055,36938880,36938880,38239872,38239872,0,0.000000,0.000000,0,5258450,0.000159,22.649219,61952,0,0,0,0,0,2.131878,2.131891,86.435476,0.988965,15.551666,0.000000,0.888582,0.000000,0.000000,5.686093,
KernelMatMultFast,32,32,1,44,44,1,1408,375716.000000,100.000000,100.000000,96.944800,0.000006,1.140092,1.013450,0.000000,0.000000,4.000000,4.000000,5525105,198896787,0,0,21807104,247808,0,5,21097072,247824,3356467,297930,3.748498,0.000000,16.597727,193.137181,16.597727,193.137181,1.134160,2.010854,84.403330,0.000000,2.554659,232.201384,548.102200,16.260178,193.137181,16.057310,193.149652,0.000000,3.989258,0.000000,0.000000,605.533775,16.820974,100.000000,100.000000,180032512,0,0,0,0,5582618624,2791309312,0,2791309312,0,8732630016,8732679605,0.231893,48.226725,1.169181,0.000342,1.461497,0.014861,0.001040,25.486913,46.671166,5582618624,0,76449759232,0,6024708096,5943427072,179595378688,0,8732679605,278598144,278598144,283802112,283802112,0,0.000000,0.000000,0,21363612,0.009434,23.398114,247808,0,0,0,0,0,0.584965,2.152702,96.535385,0.994031,16.548400,0.000000,1.037743,0.000000,0.000000,39.121392,
KernelMatMultFast,8,8,1,48,48,1,384,116092.000000,100.000000,100.000000,96.966307,0.000006,1.147562,1.002190,0.000000,0.000000,3.986846,4.000000,443337,4061156,0,0,1763653,18432,0,5,1103370,18448,231,272,37.020176,0.000000,55.619644,593.276201,55.436736,593.276201,1.396739,36.690001,99.611312,100.000000,7.435264,8.754943,553.011407,35.000225,593.276201,34.682124,593.791199,0.000000,164.797852,0.000000,0.000000,510.615712,55.741478,100.329940,100.000000,4398348,0,0,0,0,113246208,56623104,0,56623104,0,534951936,204236965,0.278746,55.183662,1.806144,0.000000,5.853455,0.012059,0.001356,19.549845,24.551487,113246208,0,1786429440,0,149078016,142442496,4209573888,0,204236965,6676992,6676992,7100928,7100928,0,0.000000,0.000000,0,1113490,0.000250,17.314481,18432,0,0,0,0,0,2.040204,2.040217,98.271925,0.881908,10.831833,0.000000,0.868723,0.000000,0.000000,945.044000,
KernelMatMultFast,16,16,1,48,48,1,768,214012.000000,100.000000,100.000000,96.952566,0.000006,1.116069,1.004284,0.000000,0.000000,3.943214,4.000000,1777053,31597643,0,0,6977406,73728,0,5,6271592,73744,138387,99512,11.001011,0.000000,31.366843,334.579654,30.921540,334.579654,3.123360,9.455457,96.392847,50.000000,628.003942,451.588141,542.075958,28.370070,334.579654,27.793607,334.652262,0.000000,23.233398,0.000000,0.000000,560.120927,31.501229,101.440105,100.000000,30579687,0,0,0,0,905969664,452984832,0,452984832,0,1489342464,1489350928,0.248414,51.109670,1.440757,0.000002,2.148371,0.012655,0.001223,23.610611,29.160104,905969664,0,13034520576,0,1049296896,1022754816,30654332928,0,1489350928,47941632,47941632,49637376,49637376,0,0.000000,0.000000,0,6401670,0.000155,21.428142,73728,0,0,0,0,0,0.617622,2.131374,91.173071,0.988899,14.432033,0.000000,1.008742,0.000000,0.000000,6.753610,
KernelMatMultFast,32,32,1,48,48,1,1536,409852.000000,100.000000,100.000000,96.944781,0.000006,1.150222,1.013498,0.000000,0.000000,4.000000,4.000000,7173422,260516466,0,0,28311552,294912,0,5,27872080,294928,4781431,347629,1.582258,0.000000,17.004445,181.380749,17.004445,181.380749,1.007840,1.245704,82.986207,0.000000,2.871816,213.803468,561.500955,16.790414,181.380749,16.740490,181.390589,0.000000,3.147461,0.000000,0.000000,625.884162,17.233963,100.000000,100.000000,233717760,0,0,0,0,7247757312,3623878656,0,3623878656,0,30217568256,11336630272,0.234141,48.644200,1.196339,0.000341,1.474674,0.014665,0.001061,25.271307,46.271094,7247757312,0,99248504832,0,7821066240,7714897920,233145630720,0,11336630272,361635840,361635840,368418816,368418816,0,0.000000,0.000000,0,27955200,0.009797,23.153474,294912,0,0,0,0,0,2.149387,2.149400,99.243463,0.995885,16.250989,0.000000,1.065297,0.000000,0.000000,49.482825,
KernelMatMultFast,8,8,1,52,52,1,416,125748.000000,100.000000,100.000000,96.966254,0.000008,1.159765,1.003056,0.000000,0.000000,3.980355,4.000000,564151,5218312,0,0,2238679,21632,0,5,2121366,21648,7599,4026,5.695411,0.000000,42.510948,418.569331,42.302166,418.569331,0.571396,5.820918,100.135820,100.000000,147.037182,77.901262,424.998899,40.012627,418.569331,40.085414,418.878923,0.000000,99.068359,0.000000,0.000000,394.421707,42.640877,100.493550,100.000000,5622857,0,0,0,0,143982592,71991296,0,71991296,0,259616448,259618609,0.263329,52.069892,2.113624,0.000000,5.855845,0.011937,0.001544,20.763941,24.316282,143982592,0,2271013888,0,189496320,181016576,5350891520,0,259618609,8485152,8485152,9025952,9025952,0,0.000000,0.000000,0,2117514,0.000218,18.919669,21632,0,0,0,0,0,0.689338,1.609128,75.908152,0.971925,9.640430,0.000000,0.664877,0.000000,0.000000,1.570546,
KernelMatMultFast,16,16,1,52,52,1,832,231828.000000,100.000000,100.000000,96.952536,0.000007,1.113702,1.004282,0.000000,0.000000,3.924001,4.000000,2259362,40088439,0,0,8827936,86528,0,5,8607854,86544,167211,127998,3.169007,0.000000,30.637937,301.665839,30.055827,301.665839,3.569434,3.326795,95.889524,50.000000,582.954036,446.244269,526.720661,29.608875,301.665839,29.306530,301.721621,0.000000,17.848633,0.000000,0.000000,545.944695,30.769138,101.936761,100.000000,38676828,0,0,0,0,1151860736,575930368,0,575930368,0,1893362432,1893374861,0.242085,49.631606,1.447524,0.000001,2.348690,0.012711,0.001021,24.270681,29.218764,1151860736,0,16571150336,0,1333915648,1299996672,38969442304,0,1893374861,60937344,60937344,63100544,63100544,0,0.000000,0.000000,0,8696658,0.000138,22.045542,86528,0,0,0,0,0,0.601859,2.038025,99.228077,0.991308,14.498821,0.000000,0.956913,0.000000,0.000000,8.773801,
KernelMatMultFast,32,32,1,52,52,1,1664,443988.000000,100.000000,100.000000,96.944765,0.000006,1.132393,1.013008,0.000000,0.000000,4.000000,4.000000,9115967,326089858,0,0,35995648,346112,0,5,35513420,346128,6363339,402201,1.259763,0.000000,17.097691,168.346497,17.097691,168.346497,0.000000,1.574728,82.668693,0.000000,3.022543,195.627800,564.552611,16.825860,168.346497,16.868636,168.354279,0.000000,2.489258,0.000000,0.000000,619.561975,17.320093,100.000000,100.000000,297137152,0,0,0,0,9214885888,4607442944,0,4607442944,0,38417393664,14412707301,0.231878,48.143217,1.209101,0.000359,1.473555,0.014621,0.001273,25.505635,46.980377,9214885888,0,126181359616,0,9943105536,9807429632,296404779008,0,14412707301,459723264,459723264,468376064,468376064,0,0.000000,0.000000,0,35423364,0.009560,23.410800,346112,0,0,0,0,0,2.153227,2.153240,99.443940,0.996732,16.583686,0.000000,1.069626,0.000000,0.000000,62.668303,
KernelMatMultFast,8,8,1,56,56,1,448,135404.000000,100.000000,100.000000,96.966209,0.000007,1.159743,1.003005,0.000000,0.000000,3.973946,4.000000,704575,6517423,0,0,2791554,25088,0,5,2301865,25104,691,16869,18.238988,0.000000,48.214966,440.822541,47.900917,440.822541,0.703219,18.297963,99.969316,98.521205,12.141595,296.406068,478.499407,39.313838,440.822541,39.498231,441.103678,0.000000,89.961914,0.000000,0.000000,447.335843,48.359858,100.655620,100.000000,6971458,0,0,0,0,179830784,89915392,0,89915392,0,324199680,324202049,0.268309,53.339802,2.027702,0.000000,5.850671,0.011192,0.001158,19.947861,24.316816,179830784,0,2836148224,0,236630016,225992704,6681837568,0,324202049,10593408,10593408,11270784,11270784,0,0.000000,0.000000,0,2291119,0.000207,18.553097,25088,0,0,0,0,0,0.695429,1.755242,80.874660,0.977384,10.140858,0.000000,0.752074,0.000000,0.000000,1.731598,
KernelMatMultFast,16,16,1,56,56,1,896,249644.000000,100.000000,100.000000,96.952510,0.000005,1.104143,1.003893,0.000000,0.000000,3.936806,4.000000,2820795,49639730,0,0,11061858,100352,0,5,10320544,100368,251475,151333,8.301367,0.000000,31.919938,291.839435,31.415651,291.839435,4.117683,6.012817,94.609657,50.000000,731.328941,440.100219,549.692778,29.983514,291.839435,29.310321,291.885964,0.000000,14.888672,0.000000,0.000000,563.906875,32.044205,101.605210,100.000000,48388488,0,0,0,0,1438646272,719323136,0,719323136,0,2364544000,2364556755,0.239155,49.133288,1.422847,0.000001,2.354322,0.012516,0.001879,24.563412,29.458737,1438646272,0,20695793664,0,1665843200,1623293952,48666705920,0,2364556755,76091904,76091904,78801408,78801408,0,0.000000,0.000000,0,10557584,0.000131,22.272449,100352,0,0,0,0,0,0.552530,2.153539,95.582736,0.991931,15.591373,0.000000,1.000074,0.000000,0.000000,10.447489,
