kernel,blksz_x,blksz_y,blksz_z,grdsz_x,grdsz_y,grdsz_z,numele,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,stall_sleeping,duration,
KernelVectorAddCBTrigILP2,576,1,1,448,1,1,4000000,39352.323413,100.000000,100.000000,96.256781,0.000061,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3096576,3096576,1000000,500000,0,5,1002708,3596592,1000503,737965,0.000000,99.919072,105.865194,52.932597,105.865194,52.932597,67.368320,40.248678,0.017197,84.768291,105.918444,78.124808,437.099599,105.884673,380.752215,106.151877,380.753908,0.000000,555.034180,327.819618,327.819618,0.000000,0.000000,100.000000,100.000000,1032208,0,0,0,0,193923328,45287680,61931520,24772608,0,317337136,50032584,5.815328,71.197924,20.581523,0.000000,0.000000,0.001960,0.018755,1.477005,0.000000,148506880,0,228377088,16515072,250307072,63093504,854791936,0,50032584,9019624,9019624,2528088,2528088,0,0.000000,0.000000,0,1000184,0.105047,0.802458,3596576,0,0,0,0,0,1.729560,1.750698,95.829365,0.552914,2.013843,0.000000,0.210319,0.000000,0.000000,0.284221,
KernelVectorAddCBTrigILP2,608,1,1,448,1,1,4000000,37743.210526,100.000000,100.000000,96.257100,0.000065,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3139968,3139968,1000000,500000,0,5,1002660,3639984,1000399,787987,0.000000,99.890954,108.999921,54.499960,108.999921,54.499960,67.673779,40.356887,0.025594,84.720085,109.043412,85.890521,454.967414,109.024773,396.756224,109.289861,396.757968,0.000000,571.469727,342.256264,342.256264,0.000000,0.000000,100.000000,100.000000,1043504,0,0,0,0,196584704,45866240,62799360,25119744,0,50650760,50654040,6.125340,70.654335,19.968651,0.000000,0.000000,0.002108,0.079627,1.911466,0.000000,150531840,0,230632704,16746496,253734656,63873792,865547008,0,50654040,9140272,9140272,2559264,2559264,0,0.000000,0.000000,0,1000228,0.114339,1.144135,3639968,0,0,0,0,0,0.400202,1.795805,96.115879,0.574382,2.183702,0.000000,5.196989,0.000000,0.000000,0.276285,
KernelVectorAddCBTrigILP2,640,1,1,448,1,1,4000000,34580.991071,100.000000,100.000000,96.256428,0.000067,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3010560,3010560,1000000,500000,0,5,1002892,3510576,1000503,810057,0.000000,99.909784,116.649989,58.324994,116.649989,58.324994,66.747301,40.023401,0.035587,83.873684,116.708664,94.493140,472.012515,116.691050,409.506785,116.987341,409.508651,0.000000,611.577148,351.181790,351.181790,0.000000,0.000000,100.000000,100.000000,1011600,0,0,0,0,188647680,44140800,60211200,24084480,0,309845680,48917284,5.704250,69.657679,20.865918,0.000000,0.000000,0.002551,0.021445,2.191287,0.000000,144492800,0,224248320,16056320,243683840,61889280,836212480,0,48917284,8796520,8796520,2471640,2471640,0,0.000000,0.000000,0,1000352,0.142857,1.414013,3510560,0,0,0,0,0,1.868335,1.895067,95.749358,0.609763,2.408494,0.000000,0.206600,0.000000,0.000000,0.258238,
KernelVectorAddCBTrigILP2,672,1,1,448,1,1,4000000,34364.420068,100.000000,100.000000,96.257362,0.000038,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3161088,3161088,1000000,500000,0,5,1002504,3661104,1000411,575372,0.000000,99.947297,65.315864,32.657932,65.315864,32.657932,67.818700,40.411824,0.002400,85.469893,65.342709,37.580919,274.243024,65.316125,239.127126,65.479415,239.128171,0.000000,342.440430,206.469194,206.469194,0.000000,0.000000,100.000000,100.000000,1049680,0,0,0,0,197880064,46147840,63221760,25288704,0,50997200,50999126,6.024807,75.849066,17.730756,0.000000,0.000000,0.000165,0.051079,0.220763,0.000000,151517440,0,231860736,16859136,255468032,64383744,871823104,0,50999126,9205096,9205096,2576472,2576472,0,0.000000,0.000000,0,1000004,0.019235,0.104129,3661088,0,0,0,0,0,0.399617,1.126007,92.340685,0.318324,1.146595,0.000000,3.143917,0.000000,0.000000,0.461530,
KernelVectorAddCBTrigILP2,704,1,1,448,1,1,4000000,32813.636364,100.000000,100.000000,96.257437,0.000043,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3161472,3161472,1000000,500000,0,5,1002560,3661488,1000503,576272,0.000000,99.931614,68.121930,34.060965,68.121930,34.060965,67.821434,40.412612,0.001200,85.264178,68.156195,39.256761,286.173142,68.123020,249.426538,68.296322,249.427628,0.000000,357.152344,215.365573,215.365573,0.000000,0.000000,100.000000,100.000000,1050224,0,0,0,0,197903616,46152960,63229440,25291776,0,51031560,51033766,5.622952,75.561360,18.366791,0.000000,0.000000,0.000710,0.020870,0.279868,0.000000,151535360,0,231965952,16861184,255540992,64475904,872600320,0,51033766,9210160,9210160,2578080,2578080,0,0.000000,0.000000,0,1000016,0.030722,0.116727,3661472,0,0,0,0,0,0.451074,1.175566,92.370655,0.332474,1.199761,0.000000,3.281067,0.000000,0.000000,0.441850,
KernelVectorAddCBTrigILP2,736,1,1,448,1,1,4000000,30281.521739,100.000000,100.000000,96.256784,0.000041,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3032448,3032448,1000000,500000,0,5,1002592,3532464,1000431,584326,0.000000,99.957856,72.550392,36.275196,72.550392,36.275196,66.905302,40.085786,0.000000,84.995108,72.581661,42.393080,295.545918,72.550392,256.280485,72.738442,256.281646,0.000000,380.370117,220.005290,220.005290,0.000000,0.000000,100.000000,100.000000,1018416,0,0,0,0,189990144,44432640,60648960,24259584,0,49300040,49302078,5.636230,75.358375,18.516806,0.000000,0.000000,0.000233,0.063955,0.266922,0.000000,145514240,0,225600768,16173056,245520128,62497536,843354880,0,49302078,8867440,8867440,2490720,2490720,0,0.000000,0.000000,0,1000000,0.028872,0.128607,3532448,0,0,0,0,0,0.491904,1.219741,91.566593,0.349695,1.247485,0.000000,3.345354,0.000000,0.000000,0.415131,
KernelVectorAddCBTrigILP2,768,1,1,448,1,1,4000000,29556.992560,100.000000,100.000000,96.257225,0.000041,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3096576,3096576,1000000,500000,0,5,1003348,3596592,1000835,580081,0.000000,99.546015,74.674196,37.337098,74.674196,37.337098,67.367071,40.250966,0.003200,85.214270,74.736549,43.317082,309.120108,74.674794,268.571422,74.924205,268.572617,0.000000,391.504883,231.234324,231.234324,0.000000,0.000000,100.000000,100.000000,1034896,0,0,0,0,193923328,45287680,61931520,24772608,0,50204240,50206317,5.598207,74.974390,18.912874,0.000000,0.000000,0.000749,0.054956,0.281958,0.000000,148506880,0,228893184,16515072,250565120,63609600,858920704,0,50206317,9043816,9043816,2536152,2536152,0,0.000000,0.000000,0,1000008,0.036711,0.140157,3596576,0,0,0,0,0,0.391924,1.263019,95.856407,0.371732,1.294485,0.000000,3.510743,0.000000,0.000000,0.404604,
KernelVectorAddCBTrigILP2,800,1,1,448,1,1,4000000,29405.392857,100.000000,100.000000,96.257994,0.000042,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3225600,3225600,1000000,500000,0,5,1003080,3725616,1000399,592934,0.000000,99.799169,75.112338,37.556169,75.112338,37.556169,68.258133,40.567210,0.001600,85.754670,75.142308,44.536659,320.759729,75.113840,279.838527,75.343684,279.839729,0.000000,393.801758,242.282358,242.282358,0.000000,0.000000,100.000000,100.000000,1067600,0,0,0,0,201836800,47008000,64512000,25804800,0,329340400,51996095,5.794758,75.263378,18.385036,0.000000,0.000000,0.000293,0.023455,0.322065,0.000000,154528000,0,235430400,17203200,260672000,65760000,889542400,0,51996095,9394600,9394600,2626200,2626200,0,0.000000,0.000000,0,1000020,0.049212,0.161802,3725600,0,0,0,0,0,1.326874,1.326930,91.940392,0.378124,1.361967,0.000000,3.690545,0.000000,0.000000,0.400666,
KernelVectorAddCBTrigILP2,832,1,1,448,1,1,4000000,28119.846154,100.000000,100.000000,96.257955,0.000043,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3204480,3204480,1000000,500000,0,5,1003428,3704496,1000503,607218,0.000000,99.534651,78.649037,39.324519,78.649037,39.324519,68.115607,40.516882,0.000400,85.523582,78.688598,47.757111,334.342720,78.650296,291.353786,78.918646,291.355044,0.000000,412.344727,252.029267,252.029267,0.000000,0.000000,100.000000,100.000000,1062768,0,0,0,0,200541440,46726400,64089600,25635840,0,327539968,51737150,5.829045,74.751148,18.808559,0.000000,0.000000,0.000364,0.019279,0.351883,0.000000,153542400,0,234460416,17090560,259067648,65508096,885330688,0,51737150,9341872,9341872,2613024,2613024,0,0.000000,0.000000,0,1000016,0.059839,0.179883,3704480,0,0,0,0,0,1.363950,1.360081,92.806354,0.391696,1.403716,0.000000,3.843300,0.000000,0.000000,0.383644,
KernelVectorAddCBTrigILP2,864,1,1,448,1,1,4000000,26294.703704,100.000000,100.000000,96.257449,0.000053,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3096960,3096960,1000000,500000,0,5,1003184,3596976,1000719,619546,0.000000,99.526503,82.514681,41.257340,82.514681,41.257340,67.369910,40.251731,0.001200,85.174369,82.574009,51.121640,342.051737,82.516661,296.802007,82.777408,296.803327,0.000000,432.611328,255.544666,255.544666,0.000000,0.000000,100.000000,100.000000,1036336,0,0,0,0,193946880,45292800,61939200,24775680,0,318060736,50299495,5.623060,74.331129,19.374860,0.000000,0.000000,0.000917,0.024249,0.384971,0.000000,148524800,0,229170432,16517120,250724096,63873792,861074176,0,50299495,9056944,9056944,2540448,2540448,0,0.000000,0.000000,0,1000024,0.062275,0.198539,3596960,0,0,0,0,0,1.398482,1.405818,91.740588,0.409982,1.455900,0.000000,3.908681,0.000000,0.000000,0.364252,
KernelVectorAddCBTrigILP2,896,1,1,448,1,1,4000000,24749.565051,100.000000,100.000000,96.257035,0.000049,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3010560,3010560,1000000,500000,0,5,1002412,3510576,1000467,631846,0.000000,99.963661,86.670939,43.335469,86.670939,43.335469,66.744853,40.027815,0.000800,84.895173,86.711414,54.762686,351.947802,86.672672,304.263531,86.879989,304.264918,0.000000,454.402344,260.928062,260.928062,0.000000,0.000000,100.000000,100.000000,1015184,0,0,0,0,188647680,44140800,60211200,24084480,0,49146960,49149385,5.884757,72.885396,20.473948,0.000000,0.000000,0.000427,0.066324,0.402518,0.000000,144492800,0,224936448,16056320,244027904,62577408,841717504,0,49149385,8828776,8828776,2482392,2482392,0,0.000000,0.000000,0,1000020,0.075659,0.210971,3510560,0,0,0,0,0,0.396048,1.444528,95.350180,0.432571,1.500323,0.000000,3.980449,0.000000,0.000000,0.347868,
KernelVectorAddCBTrigILP2,32,1,1,576,1,1,4000000,535911.527778,100.000000,100.000000,96.255016,0.000019,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0,0,3013632,3013632,1000000,500000,0,5,1002448,3513648,1000463,522709,0.000000,99.995753,26.587638,13.293819,26.587638,13.293819,66.767339,40.036220,0.000000,85.572991,26.599948,13.897598,106.774251,26.587638,93.419175,26.652724,93.419600,0.000000,139.394531,80.125356,80.125356,0.000000,0.000000,100.000000,100.000000,1003984,0,0,0,0,188836096,44181760,60272640,24109056,0,308685040,48411873,5.903511,79.509642,14.551151,0.000000,0.000000,0.000000,0.004464,0.022361,0.000000,144636160,0,222792192,16072704,243118592,60328704,824047360,0,48411873,8729320,8729320,2448600,2448600,0,0.000000,0.000000,0,1000000,0.000198,0.008672,3513632,0,0,0,0,0,0.406045,0.406375,98.846702,0.112241,0.406964,0.000000,1.224869,0.000000,0.000000,1.131408,
