kernel,blksz_x,blksz_y,grdsz_x,grdsz_y,numele,inst_per_warp,warp_nonpred_execution_efficiency,inst_replay_overhead,gld_transactions_per_request,gld_transactions,gst_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_write_throughput,gld_efficiency,tex_cache_transactions,flop_count_sp,flop_count_sp_add,flop_count_sp_mul,inst_executed,inst_issued,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_other,stall_constant_memory_dependency,stall_pipe_busy,inst_fp_32,inst_integer,inst_control,inst_compute_ld_st,inst_misc,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,ipc,issued_ipc,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,flop_sp_efficiency,duration,shared_load_transactions_per_request,shared_store_transactions_per_request,shared_store_transactions,shared_load_transactions,shared_load_throughput,shared_store_throughput,stall_texture,stall_sync,shared_efficiency,branch_efficiency,warp_execution_efficiency,local_load_transactions_per_request,local_store_transactions_per_request,gst_transactions_per_request,local_load_transactions,local_store_transactions,local_hit_rate,local_load_throughput,local_store_throughput,gst_efficiency,flop_count_sp_fma,flop_count_sp_special,inst_bit_convert
KernelMatMultFast,-1.61918, 3.63059,-1.50257, 3.35660,-1.55253, 0.42538, 0.82040,-0.62729,-0.53006,-0.09434,-0.88715, 0.01795,-1.00412,-0.24805,-0.67921,-0.49691,-0.97728, 3.97028,-1.27470, 3.39796,-1.54679,-1.30189, 5.08771,-0.08016, 4.09885, 4.31116, 0.19758,-1.03710, 0.50724,-1.04492, 0.50779,-0.67944, 0.71626,-0.04689, 0.16073, 0.18088, 0.18883, 0.34748, 0.21893,-1.45371,-0.80122,-1.43779, 0.45806,-0.70119, 8.38448, 0.16943, 0.22835, 0.20130,-0.02140, 0.25136, 0.21893, 0.19974, 0.19974, 0.01360, 0.01360, 0.01866,-0.48774, 8.51557,-1.00412, 2.64487, 1.96537,-0.06719, 2.17296, 8.38084,-0.75125, 0.10187, 1.12502, 1.00478,1369456,24533463,510.17024,28.47766, 0.00000, 2.25329,28.93957, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.55937, 7.69763,-1.50257, 3.35660,-1.55208, 1.12187, 0.81012,-0.62729,-0.51160,-0.00285,-0.49054, 0.51194,-0.92280, 0.60070,-0.50874,-0.53044,-1.10502, 1.91563,-1.38675, 1.51645,-1.56768,-1.36749, 4.32621,-1.47594,-1.22032, 1.49002, 0.33255,-1.16265,-0.41123,-1.17089,-0.41117,-0.76865, 0.64892, 0.45397, 2.39553, 2.41142, 2.41744, 1.22135, 2.50771,-1.45504,-0.82481,-1.45384, 0.56966,-0.71442, 8.65738, 2.40250, 2.55528, 2.58424, 0.64917, 2.74430, 2.50771, 2.53505, 2.53505, 0.90257, 0.90257, 0.51844,-0.48027, 8.81333,-0.92280,-0.51442, 2.00992, 1.02702, 2.19520, 8.98699,-0.66077, 1.29009, 1.14009, 1.01345,5525105,198896787,605.53377,16.82097, 0.00034, 1.46150,46.67117, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.64909, 1.59707,-1.48929, 3.68636,-1.55274, 0.11460, 0.83848,-0.62729,-0.51478,-0.11426,-0.98002,-0.11030,-1.02317,-0.27125,-0.74899, 0.53196,-0.68060, 7.93145,-0.99830, 7.02533,-1.55975, 0.15365, 5.18453, 1.31562,-1.16554,-1.25748, 0.34357,-0.95025, 2.27797,-0.95957, 2.28142,-0.15205, 0.66033,-0.10789,-0.10672,-0.08606,-0.07788,-0.03677,-0.06563,-1.44085,-0.42006,-1.42045, 0.34898,-0.71252, 6.49740,-0.09782,-0.06087,-0.09987,-0.10537,-0.05878,-0.06563,-0.09270,-0.09270,-0.09913,-0.09913,-0.10997,-0.48767, 6.39449,-1.02317, 2.45764, 1.76909, 1.21516, 1.70299, 5.51053,-0.76330,33.48451, 1.14756, 1.00219,443337,4061156,510.61571,55.74148, 0.00000, 5.85346,24.55149, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.61918, 3.63059,-1.48929, 3.68636,-1.55249, 0.49450, 0.82036,-0.62729,-0.52532,-0.08528,-0.86202, 0.05054,-0.99897,-0.23535,-0.66889,-0.29886,-0.94439, 4.04212,-1.24349, 3.46375,-1.50764,-1.04094, 5.00289,-0.08016, 5.80031, 4.18760, 0.31902,-1.02540, 0.53936,-1.03773, 0.53982,-0.69486, 0.69871,-0.02414, 0.25596, 0.27592, 0.28379, 0.10970, 0.32213,-1.45004,-0.65709,-1.43961, 0.39592,-0.71332, 7.97476, 0.26458, 0.33326, 0.31137, 0.00913, 0.36387, 0.32213, 0.30606, 0.30606, 0.05486, 0.05486, 0.05413,-0.48774, 8.03007,-0.99897,-0.44772, 1.96426, 0.44608, 2.17267, 7.69995,-0.67836, 0.13981, 1.11607, 1.00428,1777053,31597643,560.12093,31.50123, 0.00000, 2.14837,29.16010, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.55937, 7.69763,-1.48929, 3.68636,-1.55199, 1.25431, 0.81009,-0.62729,-0.51160, 0.03330,-0.39003, 0.72279,-0.90218, 0.97091,-0.46863,-0.59961,-1.10060, 1.73888,-1.38268, 1.35460,-1.57149,-1.40105, 4.24623,-1.47594,-1.21676, 1.26380, 0.36264,-1.15664,-0.49024,-1.16313,-0.49020,-0.77188, 0.64892, 0.62571, 3.15734, 3.17178, 3.17714, 4.51868, 3.29342,-1.45436,-0.80053,-1.45242, 0.55422,-0.71429, 8.57894, 3.16372, 3.35413, 3.40486, 0.87959, 3.60016, 3.29342, 3.33750, 3.33750, 1.20890, 1.20890, 0.72299,-0.47998, 8.71606,-0.90218, 2.68063, 2.00285, 1.32041, 2.20334, 8.80612,-0.64405, 1.65831, 1.15022, 1.01350,7173422,260516466,625.88416,17.23396, 0.00034, 1.47467,46.27109, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.64909, 1.59707,-1.47600, 4.01612,-1.55272, 0.15206, 0.83841,-0.62007,-0.51635,-0.11162,-0.97319,-0.07862,-1.02177,-0.26933,-0.74596,-0.46827,-0.82318, 5.30485,-1.12967, 4.62007,-1.58466,-1.20036, 5.21413, 1.31562, 0.40149,-0.40725, 0.05613,-0.89345, 1.10383,-0.89826, 1.10589,-0.40408, 0.66599,-0.10398,-0.09265,-0.07202,-0.06385,-0.07902,-0.04892,-1.44552,-0.60122,-1.40434, 0.33937,-0.71139, 6.93910,-0.08376,-0.04389,-0.08141,-0.10035,-0.04054,-0.04892,-0.07523,-0.07523,-0.09216,-0.09216,-0.07881,-0.48769, 7.03271,-1.02177,-0.30125, 0.84610,-1.20770, 2.09816, 4.78600,-0.88696,-0.04439, 1.15976, 1.00306,564151,5218312,394.42171,42.64088, 0.00000, 5.85584,24.31628, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.61918, 3.63059,-1.47600, 4.01612,-1.55245, 0.56362, 0.82032,-0.62368,-0.52996,-0.07499,-0.83470, 0.12325,-0.99337,-0.22786,-0.64590,-0.54894,-0.95231, 3.54729,-1.25215, 3.01061,-1.49417,-1.30976, 4.97448,-0.08016, 5.29463, 4.12189, 0.28454,-1.01136, 0.31816,-1.02056, 0.31851,-0.71551, 0.71588, 0.00177, 0.36845, 0.38820, 0.39598, 0.17171, 0.44404,-1.45196,-0.74308,-1.43925, 0.40033,-0.71453, 8.21490, 0.37699, 0.45718, 0.44139, 0.04520, 0.49676, 0.44404, 0.43165, 0.43165, 0.10360, 0.10360, 0.12535,-0.48776, 8.27555,-0.99337,-0.47991, 1.76439, 1.31874, 2.18325, 7.74056,-0.70980, 0.21160, 1.11370, 1.00428,2259362,40088439,545.94470,30.76914, 0.00000, 2.34869,29.21876, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.55937, 7.69763,-1.47600, 4.01612,-1.55191, 1.38674, 0.81007,-0.62729,-0.51160, 0.07601,-0.28077, 0.96060,-0.87978, 1.38188,-0.42458,-0.60990,-1.09958, 1.54292,-1.38175, 1.17515,-1.60191,-1.38662, 4.22831,-1.47594,-1.21507, 1.04031, 0.36949,-1.15624,-0.57784,-1.16168,-0.57782,-0.77440, 0.64892, 0.82859, 4.05731, 4.07003, 4.07461, 5.77712, 4.22158,-1.45505,-0.82967,-1.45175, 0.55076,-0.71302, 8.66420, 4.06299, 4.29783, 4.37425, 1.15177, 4.61119, 4.22158, 4.28539, 4.28539, 1.57076, 1.57076, 0.95475,-0.48017, 8.81838,-0.87978, 2.68847, 2.01108, 1.34213, 2.20706, 9.00845,-0.64143, 2.12689, 1.13239, 1.01301,9115967,326089858,619.56197,17.32009, 0.00036, 1.47355,46.98038, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.64909, 1.59707,-1.46272, 4.34587,-1.55270, 0.18953, 0.83835,-0.62368,-0.51789,-0.10854,-0.96581,-0.07300,-1.02025,-0.27113,-0.73559,-0.06774,-0.76114, 5.63941,-1.07367, 4.92644,-1.58069,-0.65308, 5.20474, 1.27434,-1.11271, 2.27948, 0.17626,-0.90137, 1.25338,-0.90493, 1.25525,-0.43900, 0.67159,-0.09966,-0.07625,-0.05565,-0.04750,-0.06911,-0.02943,-1.44402,-0.52734,-1.40884, 0.28070,-0.71371, 6.64220,-0.06738,-0.02409,-0.05987,-0.09450,-0.01927,-0.02943,-0.05486,-0.05486,-0.08404,-0.08404,-0.07343,-0.48770, 6.88696,-1.02025,-0.28881, 1.15894,-0.66964, 2.12212, 5.09032,-0.83406,-0.03866, 1.15974, 1.00300,704575,6517423,447.33584,48.35986, 0.00000, 5.85067,24.31682, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.61918, 3.63059,-1.46272, 4.34587,-1.55241, 0.63275, 0.82028,-0.63090,-0.52686,-0.06258,-0.80520, 0.17655,-0.98732,-0.20597,-0.62706,-0.38506,-0.93837, 3.39955,-1.23855, 2.87533,-1.47762,-1.19195, 4.90224,-0.08016, 6.96013, 4.04634, 0.33612,-1.00711, 0.25212,-1.02052, 0.25240,-0.72686, 0.70442, 0.03283, 0.49966, 0.51916, 0.52682, 0.24402, 0.58621,-1.45284,-0.77207,-1.44055, 0.38497,-0.70939, 8.32140, 0.50809, 0.60170, 0.59302, 0.08725, 0.65175, 0.58621, 0.57810, 0.57810, 0.16044, 0.16044, 0.18310,-0.48776, 8.36577,-0.98732,-0.58066, 2.01172, 0.92381, 2.18598, 8.40499,-0.68362, 0.27108, 1.10414, 1.00389,2820795,49639730,563.90688,32.04420, 0.00000, 2.35432,29.45874, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
